new_name,old_name
SEQ_11,cds_AKI84352_A/equine/Tennessee/28A/2014_2014/10/21_HA_HA_3
SEQ_19,cds_AQY18287_A/blue-winged_teal/Guatemala/CIP049H113-08/2013_2013/01/10_HA_HA_14
SEQ_16,cds_ALE20251_A/duck/Zhejiang/925088/2014_2014/09/25_HA_HA_4
SEQ_23,cds_AHJ57322_A/blue-winged_teal/Guatemala/CIP049H106-62/2011_2011/12/15_HA_HA_14
SEQ_5,cds_CAA24269_A/Aichi/2/1968_1968//_HA_HA_3
SEQ_13,cds_AOS87374_A/equine/Argentina/E1134-7/2001_2001/07/31_HA_HA_3
SEQ_22,cds_BAF43460_A/mallard/Astrakhan/263/1982_1982//_HA_HA_14
SEQ_4,cds_ABB96341_A/Memphis/18/1978_1978//_HA_HA_3
SEQ_3,cds_AET75393_A/pintail/Alberta/232/1992_1992/08/24_HA_HA_3
SEQ_14,cds_AMX73815_A/blue-winged_teal/Texas/AI13-4094/2013_2013/09/18_HA_HA_4
SEQ_6,cds_AHX37629_A/Perth/16/2009_2009/04/07_HA_HA_3
SEQ_9,cds_ABB04283_A/Hong_Kong/46/1980_1980//_HA_HA_3
SEQ_21,cds_ANA11343_A/blue-winged_teal/Texas/UGAI15-6890/2015_2015/09/20_HA_HA_14
SEQ_18,cds_BAF46754_A/duck/Hong_Kong/951/1980_1980//_HA_HA_4
SEQ_7,cds_ANM98799_A/California/25/2016_2016/01/16_HA_HA_3
SEQ_10,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3
SEQ_1,cds_ABJ16774_A/South_Australia/71/2000_2000//_HA_HA_3
SEQ_17,cds_BAF43432_A/duck/Hokkaido/1058/2001_2001//_HA_HA_4
SEQ_20,cds_AQY18465_A/blue-winged_teal/Guatemala/CIP049H109-49/2012_2012/11/16_HA_HA_14
SEQ_15,cds_AHL81553_A/northern_shoveler/Wisconsin/11OS4110/2011_2011/10/16_HA_HA_4
SEQ_12,cds_ACD85176_A/equine/Kentucky/3/1986_1986//_HA_HA_3
SEQ_0,cds_ABE14840_A/New_York/637/1996_1996/01/17_HA_HA_3
SEQ_8,cds_ABD16571_A/Memphis/7/1990_1990//_HA_HA_3
SEQ_2,cds_ABV30404_A/Texas/UR06-0418/2007_2007/02/26_HA_HA_3
