seq_id,sequence1,sequence2,model,distance,alignment_id,alignment_ref,divergence_level,from_ref
cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,pb,0.09157974186954043,hybrid_high_0,hybrid,high,no
cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1,pb,0.5444239625891034,hybrid_high_0,hybrid,high,no
cds_ABV25634_A/swine/Iowa/15/1930_1930//_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABV25634_A/swine/Iowa/15/1930_1930//_HA_HA_1,pb,1.258984936973983,hybrid_high_0,hybrid,high,no
cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1,pb,1.4083781620095064,hybrid_high_0,hybrid,high,no
cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1,pb,1.8435013928646338,hybrid_high_0,hybrid,high,no
cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,pb,2.360429941715336,hybrid_high_0,hybrid,high,no
cds_ABD59847_A/Taiwan/0130/1996_1996//_HA_HA_1_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABD59847_A/Taiwan/0130/1996_1996//_HA_HA_1,pb,2.237495975020014,hybrid_high_0,hybrid,high,no
cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1_cds_BAA02768_A/Suita/1/1989_1989//_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_BAA02768_A/Suita/1/1989_1989//_HA_HA_1,pb,2.1479553101671733,hybrid_high_0,hybrid,high,no
cds_ABJ16576_A/mallard/Ohio/64/1989_1989/10/19_HA_HA_6_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABJ16576_A/mallard/Ohio/64/1989_1989/10/19_HA_HA_6,pb,11.553093547920156,hybrid_high_0,hybrid,high,no
cds_ADG44742_A/duck/Shantou/5480/2005_2005//_HA_HA_6_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ADG44742_A/duck/Shantou/5480/2005_2005//_HA_HA_6,pb,12.107952917335034,hybrid_high_0,hybrid,high,no
cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1_cds_BAJ18029_A/guinea_fowl/Hong_Kong/NT897/2001_2001//_HA_HA_6,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_BAJ18029_A/guinea_fowl/Hong_Kong/NT897/2001_2001//_HA_HA_6,pb,12.22294474921051,hybrid_high_0,hybrid,high,no
cds_AIK26344_A/chicken/Texas/9686-3/2014_2014/03/19_HA_HA_6_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_AIK26344_A/chicken/Texas/9686-3/2014_2014/03/19_HA_HA_6,pb,12.140990986998943,hybrid_high_0,hybrid,high,no
cds_ABD35523_A/chicken/Taiwan/G2/87_1987//_HA_HA_6_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABD35523_A/chicken/Taiwan/G2/87_1987//_HA_HA_6,pb,12.00330713034436,hybrid_high_0,hybrid,high,no
cds_ABB87314_A/red_knot/Delaware/2552/1987_1987/07/07_HA_HA_9_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_ABB87314_A/red_knot/Delaware/2552/1987_1987/07/07_HA_HA_9,pb,16.064652995028226,hybrid_high_0,hybrid,high,no
