alignment_id,alignment_ref,distance2,divergence_level,from_ref,pref_set,seq_id,sequence1,sequence2,model_pair,distance1
hybrid_high_0,hybrid,0.09471,high,no,average,cds_AHZ38971_A/mallard/Sweden/541/2002_2002/11/07_HA_HA_8_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_AHZ38971_A/mallard/Sweden/541/2002_2002/11/07_HA_HA_8,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,0.191476
hybrid_high_0,hybrid,0.7360399999999999,high,no,average,cds_ACZ48491_A/turkey/Colorado/235497/2003_2003//_HA_HA_8_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ACZ48491_A/turkey/Colorado/235497/2003_2003//_HA_HA_8,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,1.472107
hybrid_high_0,hybrid,0.61298,high,no,average,cds_ABB87740_A/mallard/Alberta/194/1992_1992/12/01_HA_HA_8_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ABB87740_A/mallard/Alberta/194/1992_1992/12/01_HA_HA_8,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,1.21635
hybrid_high_0,hybrid,0.66787,high,no,average,cds_ACZ36909_A/duck/LA/B174/1986_1986//_HA_HA_8_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ACZ36909_A/duck/LA/B174/1986_1986//_HA_HA_8,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,1.2759319999999998
hybrid_high_0,hybrid,5.693480000000001,high,no,average,cds_AGK23569_A/chicken/Shandong/zc11/2009_2009/11/01_HA_HA_9_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_AGK23569_A/chicken/Shandong/zc11/2009_2009/11/01_HA_HA_9,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,14.799719
hybrid_high_0,hybrid,5.8417600000000025,high,no,average,cds_AOO54710_A/chicken/Sichuan/LFY/2016_2016/02/25_HA_HA_9_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_AOO54710_A/chicken/Sichuan/LFY/2016_2016/02/25_HA_HA_9,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,15.088206
hybrid_high_0,hybrid,5.65827,high,no,average,cds_ADC30104_A/chicken/Guangdong/HE21/2008_2008/08/01_HA_HA_9_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ADC30104_A/chicken/Guangdong/HE21/2008_2008/08/01_HA_HA_9,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,14.725501999999999
hybrid_high_0,hybrid,5.5575100000000015,high,no,average,cds_AGO17823_A/chicken/Hong_Kong/G9/1997_1997//_HA_HA_9_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_AGO17823_A/chicken/Hong_Kong/G9/1997_1997//_HA_HA_9,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,14.538080999999998
hybrid_high_0,hybrid,5.229419999999998,high,no,average,cds_ABB87314_A/red_knot/Delaware/2552/1987_1987/07/07_HA_HA_9_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ABB87314_A/red_knot/Delaware/2552/1987_1987/07/07_HA_HA_9,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,13.755660999999998
hybrid_high_0,hybrid,10.41066,high,no,average,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8_cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1,pb/ExpCM_average,24.001307999999998
hybrid_high_0,hybrid,10.3633,high,no,average,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1_cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1,cds_APC30793_A/mallard_duck/Netherlands/14/2006_2006/07/24_HA_HA_8,pb/ExpCM_average,23.919269
