Model,Site,Time,f
ExpCM,1,0,1.0
ExpCM,1,1,0.6007222869092932
ExpCM,1,2,0.4178953546533348
ExpCM,1,3,0.3176340542372049
ExpCM,1,4,0.2561056560485886
ExpCM,1,5,0.21539114131913645
ExpCM,1,6,0.18701058868790593
ExpCM,1,7,0.16647663982377428
ExpCM,1,8,0.15119818689298548
ExpCM,1,9,0.13957624083737383
ExpCM,1,10,0.13057373539621348
ExpCM,1,11,0.12349236315695605
ExpCM,1,12,0.11784803306859826
ExpCM,1,13,0.11329714946773972
ExpCM,1,14,0.10959092258525152
ExpCM,1,15,0.10654602867258854
ExpCM,1,16,0.10402523819270681
ExpCM,1,17,0.1019243355392563
ExpCM,1,18,0.1001631194644757
ExpCM,1,19,0.09867910894211004
ExpCM,1,20,0.09742307567019731
ExpCM,1,21,0.09635582939510656
ExpCM,1,22,0.09544587462320656
ExpCM,1,23,0.09466768127964204
ExpCM,1,24,0.09400039321417145
ExpCM,1,25,0.09342685261837752
ExpCM,1,26,0.09293285495901625
ExpCM,1,27,0.09250657397222233
ExpCM,1,28,0.09213811346896875
ExpCM,1,29,0.09181915469251388
ExpCM,1,30,0.09154267640581806
ExpCM,1,31,0.0913027308803496
ExpCM,1,32,0.09109426325502032
ExpCM,1,33,0.09091296484379578
ExpCM,1,34,0.09075515324175454
ExpCM,1,35,0.09061767375337539
ExpCM,1,36,0.09049781791188233
ExpCM,1,37,0.09039325579280356
ExpCM,1,38,0.09030197953222671
ExpCM,1,39,0.09022225600030633
ExpCM,1,40,0.09015258699637847
ExpCM,1,41,0.09009167565471804
ExpCM,1,42,0.09003839800230606
ExpCM,1,43,0.08999177880873147
ExpCM,1,44,0.08995097102598361
ExpCM,1,45,0.0899152382417246
ExpCM,1,46,0.08988393967068697
ExpCM,1,47,0.08985651729046923
ExpCM,1,48,0.08983248479428634
ExpCM,1,49,0.08981141808732956
YNGKP_M0,1,0,1.0
YNGKP_M0,1,1,0.62707983716728
YNGKP_M0,1,2,0.47534519522532126
YNGKP_M0,1,3,0.3733318983042162
YNGKP_M0,1,4,0.3020139003261306
YNGKP_M0,1,5,0.25060135535098405
YNGKP_M0,1,6,0.21259455096431096
YNGKP_M0,1,7,0.18389135185954444
YNGKP_M0,1,8,0.1618054913485507
YNGKP_M0,1,9,0.14452507787985558
YNGKP_M0,1,10,0.1307980984375611
YNGKP_M0,1,11,0.11974170738738732
YNGKP_M0,1,12,0.11072239408429672
YNGKP_M0,1,13,0.10327846297011772
YNGKP_M0,1,14,0.09706866896545753
YNGKP_M0,1,15,0.09183749373130032
YNGKP_M0,1,16,0.087391265668084
YNGKP_M0,1,17,0.08358148937519755
