FromRef,HA_group,alignment,distance1,distance2,model_pair,seq_id,clean_model
no,HA3_HA3,HA_greater_75,1.5694499999999998,1.4400600000000001,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_ABB04283_A/Hong_Kong/46/1980_1980//_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,1.6602599999999998,1.5260400000000005,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_ABD16571_A/Memphis/7/1990_1990//_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,0.21721,0.21094,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_ACD85176_A/equine/Kentucky/3/1986_1986//_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,1.17392,1.08188,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AET75834_A/red_knot/Delaware_Bay/252/1994_1994/05/23_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,1.92486,1.7750099999999998,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AGK73628_A/Rhode_Island/05/2011_2011/03/03_HA_HA_3,M5/M0
yes,HA3_HA3,HA_greater_75,1.89864,1.74911,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AHX37629_A/Perth/16/2009_2009/04/07_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,0.38685,0.374,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AKI84352_A/equine/Tennessee/28A/2014_2014/10/21_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,1.9630599999999998,1.8123200000000004,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_ANM98799_A/California/25/2016_2016/01/16_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,0.30476000000000003,0.29466000000000003,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AOS87374_A/equine/Argentina/E1134-7/2001_2001/07/31_HA_HA_3,M5/M0
no,HA3_HA3,HA_greater_75,1.97067,1.81965,YNGKP_M5/YNGKP_M0,cds_AAA43164_A/equine/Miami/1963_1963//_HA_HA_3_cds_AOT90646_A/Washington/56/2016_2016/03/21_HA_HA_3,M5/M0
