FromWSN,HA_group,alignment,distance1,distance2,model_pair,seq_id,clean_model
no,HA1_HA2,HA_greater_58,4.47524,3.4372800000000003,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1,M5/M0
no,HA1_HA2,HA_greater_58,4.92074,3.72688,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1,M5/M0
yes,HA1_HA2,HA_greater_58,4.670590000000002,3.60469,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1,M5/M0
no,HA2_HA5,HA_greater_58,2.813,2.49511,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ABI16504_A/China/GD01/2006_2006//_HA_HA_5,M5/M0
no,HA2_HA2,HA_greater_58,0.16229000000000002,0.15928,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2,M5/M0
no,HA1_HA2,HA_greater_58,4.95812,3.87542,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1,M5/M0
no,HA2_HA6,HA_greater_58,6.52059,4.64011,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ABX88810_A/eurasian_coot/Western_Australia/2727/1979_1979//_HA_HA_6,M5/M0
no,HA1_HA2,HA_greater_58,4.974589999999999,3.7833699999999997,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ACZ45031_A/Norway/3478/2009_2009/09/07_HA_HA_1,M5/M0
no,HA1_HA2,HA_greater_58,4.98909,3.90498,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ACZ81556_A/Thailand/CU-H565/2009_2009/09/02_HA_HA_1,M5/M0
no,HA1_HA2,HA_greater_58,4.97286,3.78168,YNGKP_M5/YNGKP_M0,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2_cds_ADG42533_A/Tallinn/INS181/2009_2009/12/21_HA_HA_1,M5/M0
